index	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40
1	wall	1608	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
2	floor	729	11	2	5	floor	floor	Floor					n03365592	floor.n.01	2	floor
3	chair	435	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
4	couch	230	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01	10	sofa
5	bed	227	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
6	pillow	225	119	18	7	pillow	pillow	Objects			pillow	03938244	n03938244	pillow.n.01	8	cushion
7	table	212	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
8	cabinet	200	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
9	door	195	28	8	12	door	door	Wall	door				n03221720	door.n.01	4	door
10	desk	180	36	14	10	desk	desk	Table	desk	desk	table	04379243	n03179701	desk.n.01	5	table
11	picture	172	64	11	8	picture	picture	Picture					n03931044	picture.n.01	6	picture
12	window	166	59	9	13	window	window	Window					n04587648	window.n.01	9	window
13	shelf	126	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
14	bookshelf	123	88	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	02871439	n02871439	bookshelf.n.01	31	shelving
15	curtain	120	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
16	sink	105	24	34	7	sink	sink	Objects	sink				n04223580	sink.n.01	15	sink
17	lamp	104	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02	28	lighting
18	kitchen cabinet	97	3	3	6	cabinet	cabinet	Furniture					n02933112	cabinet.n.01	7	cabinet
19	nightstand	94	158	32	6	night stand	night stand	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01	13	chest_of_drawers
20	dining chair	92	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
21	dresser	92	169	17	6	dresser	dresser	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	13	chest_of_drawers
22	book	89	1	23	2	book	books	Books					n02870526	book.n.11	39	objects
23	toilet	85	124	33	7	toilet	toilet	Objects	toilet	toilet			n04446276	toilet.n.01	18	toilet
24	drawer	74	174	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers
25	tv	67	172	25	11	television	television	TV			tv or monitor	03211117	n03211117	display.n.06	22	tv_monitor
26	countertop	65	7	12	6	counter	counter	Furniture					n03118245	countertop.n.01	26	counter
27	clothes	56	141	21	7	clothes	clothes	Objects					n02728440	apparel.n.01	38	clothes
28	towel	51	135	27	7	towel	towel	Objects					n04459362	towel.n.01	20	towel
29	ceiling	50	4	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling
30	bathtub	50	136	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	02808440	n02808440	bathtub.n.01	25	bathtub
31	box	43	26	29	7	box	box	Objects					n02883344	box.n.01	39	objects
32	trashcan	42	12	39	6	garbage bin	otherfurniture	Furniture			trash_bin	02747177	n02747177	ashcan.n.01	39	objects
33	counter	42	7	12	6	counter	counter	Furniture	table	table	table	04379243	n03116530	counter.n.01	26	counter
34	armchair	41	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n02738535	armchair.n.01	3	chair
